song,artist
"Love Me Tender - From the 20th Century-Fox CinemaScope Production, ""Love Me Tender""",Elvis Presley
Singing The Blues - Guy Mitchell,Compilation Les Années 50 : la légende américaine
Too Much,Elvis Presley
Young Love,Tab Hunter
Party Doll,Buddy Knox
Round And Round - Remastered - 1992,Perry Como
All Shook Up,Elvis Presley
Love Letters In The Sand - Single Version,Pat Boone
(Let Me Be Your) Teddy Bear,Elvis Presley
Tammy,Debbie Reynolds
Diana,Paul Anka
Baby My Heart,The Crickets
Honeycomb,Various Artists
Wake up Little Susie,The Everly Brothers
Jailhouse Rock,Elvis Presley
You Send Me,Sam Cooke
April Love,Pat Boone
At The Hop,Danny & The Juniors
Don't,Elvis Presley
Tequila,The Champs
Twilight Time - Single Version,The Platters
Witch Doctor,Halloween All-Stars
All I Have to Do Is Dream,The Everly Brothers
The Purple People Eater,Sheb Wooley
Hard Headed Woman,Elvis Presley
Poor Little Fool - Remastered,Ricky Nelson
Nel blu dipinto di blu' (Volare),Various Artists
Little Star,The Elegants
It's All In The Game,Tommy Edwards
It's Only Make Believe,Conway Twitty
Tom Dooley,The Kingston Trio
Theme from a Summer Place,Percy Faith
He'll Have to Go,Jim Reeves
Cathy's Clown,The Everly Brothers
Running Bear,Johnny Preston
Teen Angel,Mark Dinning
I'm Sorry,Brenda Lee
It's Now or Never,Elvis Presley
Handy Man,Jimmy Jones
Stuck on You,Elvis Presley
The Twist,Chubby Checker
Everybody's Somebody's Fool,Connie Francis
Wild One,Bobby Rydell
Greenfields,The Brothers Four
What In The World’s Come Over You,Jack Scott
El Paso,Marty Robbins
Alley Oop,The Hollywood Argyles
My Heart Has A Mind Of Its Own,Connie Francis
Sweet Nothin's,Brenda Lee
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland
Only the Lonely,Roy Orbison
Where Or When,Dion & The Belmonts
Sixteen Reasons,Connie Stevens
Puppy Love - Remix,Paul Anka
Why,Frankie Avalon
"Walk, Don't Run",The Ventures
Save the Last Dance for Me,The Drifters
"Baby, You Got What It Takes",Various Artists
Sink the Bismark,Johnny Horton
Chain Gang,Sam Cooke
Let It Be Me,The Everly Brothers
Good Timin,Jimmy Jones
Beyond the Sea,Bobby Darin
"Go, Jimmy, Go",Jimmy Clanton
Night,Jackie Wilson
Burning Bridges,Jack Scott
The Big Hurt,Toni Fisher
Because They’re Young,Duane Eddy
Lonely Blue Boy,Conway Twitty
Pretty Blue Eyes,Steve Lawrence
Way Down Yonder In New Orleans,Freddy Cannon
Paper Roses,Anita Bryant
Mr. Custer,Larry Verne
I Want to Be Wanted,Brenda Lee
Mule Skinner Blues,The Fendermen
Cradle Of Love,Johnny Preston
You've Got What It Takes,Marv Johnson
"Please Help Me, I'm Falling",Hank Locklin
Love You So,Ron Holden
Finger Poppin' Time,Hank Ballard & The Midnighters
Harbor Lights,The Platters
Let the Little Girl Dance,Billy Bland
He'll Have to Stay,Jeanne Black
"Theme From ""The Apartment""",Ferrante & Teicher
Volare,Bobby Rydell
A Million to One,Jimmy Charles
The Village of St. Bernadette,Andy Williams
The Old Lamplighter,The Browns
White Silver Sands,Bill Blacks Combo
Devil Or Angel,Bobby Vee
Down By the Station,The Four Preps
Forever,Various Artists
